"publication_date","district","state","country","confirmed","recovered","source"
"2020-03-11","Charlottenburg-Wilmersdorf","Berlin","Germany",15,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Friedrichshain-Kreuzberg","Berlin","Germany",12,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Lichtenberg","Berlin","Germany",5,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Marzahn-Hellersdorf","Berlin","Germany",3,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Mitte","Berlin","Germany",8,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Neukölln","Berlin","Germany",5,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Pankow","Berlin","Germany",8,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Reinickendorf","Berlin","Germany",3,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Spandau","Berlin","Germany",6,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Steglitz-Zehlendorf","Berlin","Germany",6,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Tempelhof-Schöneberg","Berlin","Germany",7,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
"2020-03-11","Treptow-Köpenick","Berlin","Germany",3,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.905504.php"
